mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-230045,123.884696960449,25.8111324310303,0.0455723,25.2581,168.7933,327.5697,27.87115,136.6043,211.9135,43.04485,245.0232,373.9596,30.33642,173.5773,265.9247,10.4835,51.99173,90.31512,220.913,1228.695,1890.49,53.30598,299.7056,631.0735,8.640013,63.09279,273.7957
1-584931,125.874443054199,27.1363792419434,0.0237064,10.59846,470.856,927.8768,13.20375,425.8211,603.1265,12.88171,735.3538,1138.746,11.49906,478.2538,731.597,1.183787,92.01286,126.1721,97.34824,3812.065,6017.586,24.63119,1088.911,1796.603,5.295123,235.8498,397.1145
1-584931,125.874443054199,27.1363792419434,0.0237064,10.59843,258.1291,278.7799,13.20377,299.5408,306.7688,12.88171,478.9503,495.2221,11.49907,319.7244,329.8517,1.183786,53.62179,55.10176,97.34831,2547.214,2637.92,24.63109,721.4265,748.682,5.294998,158.4972,165.1503
1-230334,125.703727722168,27.7153205871582,0.0197461,44.58204,610.2407,843.15,15.28603,141.787,188.6573,44.66982,481.3408,656.5985,32.76177,366.8691,505.881,8.82946,94.25435,163.0213,206.9254,2095.61,2776.825,60.17776,637.9875,899.6368,12.29671,138.7021,178.5223
1-230334,125.703727722168,27.7153205871582,0.0197461,44.58211,422.2659,441.2826,15.28611,105.8608,109.9752,44.66985,351.2273,365.0297,32.7618,268.8044,280.5687,8.829457,66.15691,69.80237,206.9253,1546.413,1601.3,60.17945,465.868,484.3642,12.2949,102.1182,105.912
1-230670,128.026428222656,29.2362518310547,0.0784647,14.85878,70.42207,348.8907,20.15861,126.3736,302.9043,18.17429,136.8003,406.7053,8.71957,97.57594,336.81,7.295124,35.75069,123.2684,99.56967,800.1684,2238.286,19.78912,166.0117,572.5081,0.9401546,38.4407,175.7852
1-230670,128.026428222656,29.2362518310547,0.0784647,14.85852,64.3625,77.44473,20.15919,115.1385,133.4743,18.17406,123.7499,149.3601,8.719626,87.32186,107.7972,7.294935,31.73935,38.51249,99.56761,728.7634,863.7101,19.78798,151.3975,185.159,0.9413774,33.81873,43.29225
1-605247,127.002754211426,28.2681732177734,0.0936142,4.184144,40.10379,44.52778,0.4817795,-4.6864,-9.970625,1.461716,10.76497,12.33957,3.519508,28.67225,30.73084,4.419351,-15.69695,-21.9862,1.84877,-1.387087,-4.233703,-4.534896,-22.99638,-19.16353,-3.926862,-22.69298,-21.62584
1-605247,127.002754211426,28.2681732177734,0.0936142,4.621635,25.95735,26.27748,0.359689,4.063872,4.14829,1.700181,6.20364,6.098053,3.933845,18.47772,18.50644,5.36551,2.427816,2.296807,1.832294,4.697506,4.600914,-4.974573,-13.37805,-13.45334,-3.780905,-21.48756,-21.5086
1-298906,127.027496337891,26.911828994751,0.0944037,4.373654,-10.36849,-10.36849,-0.1348297,-41.40952,-41.40952,0.8247873,-15.10357,-15.10357,2.220635,90.21445,90.21445,-0.6063259,-35.63788,-35.63788,-3.732479,-75.8413,-75.8413,-1.534387,12.34326,12.34326,-2.216503,-38.19867,-38.19867
